date,ticker,Index,Type,N
2015-07-07 00:00:00+00:00,AMD,3946,Bad,214.0
2015-07-17 00:00:00+00:00,AMD,3954,Neutral,159.0
2015-09-14 00:00:00+00:00,AMD,3994,Good,163.0
2015-09-24 00:00:00+00:00,AMD,4002,Bad,22.0
2015-10-02 00:00:00+00:00,AMD,4008,Bad,40.0
2015-11-12 00:00:00+00:00,AMD,4035,Good,43.0
2015-11-19 00:00:00+00:00,AMD,4040,Good,57.0
2015-11-25 00:00:00+00:00,AMD,4044,Good,82.0
2015-12-17 00:00:00+00:00,AMD,4059,Good,107.0
2015-12-23 00:00:00+00:00,AMD,4063,Good,166.0
2016-03-14 00:00:00+00:00,AMD,4117,Good,219.0
2016-04-22 00:00:00+00:00,AMD,4146,Good,866.0
2016-05-24 00:00:00+00:00,AMD,4168,Good,411.0
2016-06-17 00:00:00+00:00,AMD,4185,Good,643.0
2016-07-22 00:00:00+00:00,AMD,4209,Good,1781.0
2016-08-19 00:00:00+00:00,AMD,4229,Good,1124.0
2016-09-01 00:00:00+00:00,AMD,4238,Good,696.0
2016-10-21 00:00:00+00:00,AMD,4272,Neutral,3531.0
2017-02-01 00:00:00+00:00,AMD,4340,Neutral,4750.0
2017-03-13 00:00:00+00:00,AMD,4367,Neutral,7298.0
2017-05-02 00:00:00+00:00,AMD,4403,Bad,11717.0
2017-05-17 00:00:00+00:00,AMD,4414,Bad,9947.0
2017-07-26 00:00:00+00:00,AMD,4462,Bad,11406.0
2017-09-21 00:00:00+00:00,AMD,4502,Bad,9193.0
2017-10-25 00:00:00+00:00,AMD,4525,Bad,9735.0
2018-01-31 00:00:00+00:00,AMD,4590,Bad,7325.0
2018-04-26 00:00:00+00:00,AMD,4650,Neutral,8145.0
2018-07-26 00:00:00+00:00,AMD,4713,Good,7436.0
2018-10-03 00:00:00+00:00,AMD,4761,Bad,4337.0
2018-10-22 00:00:00+00:00,AMD,4773,Bad,3258.0
2018-10-25 00:00:00+00:00,AMD,4776,Bad,7595.0
2019-01-30 00:00:00+00:00,AMD,4840,Bad,5902.0
2019-03-20 00:00:00+00:00,AMD,4874,Bad,3606.0
2019-04-03 00:00:00+00:00,AMD,4884,Bad,1965.0
2019-05-01 00:00:00+00:00,AMD,4904,Neutral,4264.0
2019-05-28 00:00:00+00:00,AMD,4922,Good,1947.0
2019-07-08 00:00:00+00:00,AMD,4950,Good,1285.0
